slug,name,type,categories,target,fit,effort,existing,privileged,arm,updateable,port,rationale,website,documentation
coredns,CoreDNS,lxc,Adblock & DNS,existing,already-covered,none,infra app dir coredns,false,false,true,,Already represented in your infra as infra app dir coredns.,https://coredns.io/,https://coredns.io/manual/toc/
cloudflared,Cloudflared,lxc,Network & Firewall,homelab,already-covered,none,apps/cluster/cloudflared,false,false,true,,Already represented in your infra as apps/cluster/cloudflared.,https://www.cloudflare.com/,https://developers.cloudflare.com/cloudflare-one/connections/connect-networks/
garage,Garage,lxc,Databases,homelab,already-covered,none,apps/cluster/garage-cluster,false,false,true,3900,Already represented in your infra as apps/cluster/garage-cluster.,https://garagehq.deuxfleurs.fr/,https://garagehq.deuxfleurs.fr/documentation/quick-start/
loki,Loki,lxc,Monitoring & Analytics,homelab,already-covered,none,apps/cluster/loki,false,false,true,3100,Already represented in your infra as apps/cluster/loki.,https://github.com/grafana/loki,https://grafana.com/docs/loki/latest/
ollama,Ollama,lxc,AI / Coding & Dev-Tools,homelab,already-covered,none,apps/user/ai-stack,false,false,true,11434,Already represented in your infra as apps/user/ai-stack.,https://ollama.com/,https://github.com/ollama/ollama/tree/main/docs
openwebui,Open WebUI,lxc,AI / Coding & Dev-Tools,homelab,already-covered,none,apps/user/ai-stack,false,false,true,8080,Already represented in your infra as apps/user/ai-stack.,https://openwebui.com/,https://docs.openwebui.com/
postgresql,PostgreSQL,lxc,Databases,homelab,already-covered,none,apps/cluster/cnpg-home/root cnpg-root,false,false,true,5432,Already represented in your infra as apps/cluster/cnpg-home/root cnpg-root.,https://www.postgresql.org/,https://www.postgresql.org/docs/
prometheus,Prometheus,lxc,Monitoring & Analytics,homelab,already-covered,none,apps/cluster/kube-prometheus-stack,false,false,true,9090,Already represented in your infra as apps/cluster/kube-prometheus-stack.,https://prometheus.io/,https://prometheus.io/docs/introduction/overview/
redis,Redis ,lxc,Databases,homelab,already-covered,none,apps/cluster/valkey equivalent,false,false,false,,Already represented in your infra as apps/cluster/valkey equivalent.,https://redis.io/,https://redis.io/docs/latest/
traefik,Traefik,lxc,Webservers & Proxies,homelab,already-covered,none,apps/cluster/traefik,false,false,true,8080,Already represented in your infra as apps/cluster/traefik.,https://traefik.io/,https://doc.traefik.io/
valkey,Valkey,lxc,Databases,homelab,already-covered,none,apps/cluster/valkey,false,false,true,6379,Already represented in your infra as apps/cluster/valkey.,https://valkey.io/,https://valkey.io/docs/
adguard,AdGuard Home,lxc,Adblock & DNS,homelab,good,low,,false,false,true,3000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://adguard.com/en/adguard-home/overview.html,https://github.com/AdguardTeam/AdGuardHome/wiki/Getting-Started
audiobookshelf,Audiobookshelf,lxc,Media & Streaming,homelab,good,low,,false,false,true,13378,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.audiobookshelf.org/,https://www.audiobookshelf.org/guides/
autobrr,Autobrr,lxc,*Arr Suite,homelab,good,low,,false,false,true,7474,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://autobrr.com/,https://autobrr.com/configuration/autobrr
bazarr,Bazarr,lxc,*Arr Suite,homelab,good,low,,false,false,true,6767,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.bazarr.media/,https://wiki.bazarr.media/
